rank,title,artist,album,genre,streams,source,fetched_at,score,key
4,Stupid Song,Olivia Rodrigo,,,0,billboard,2026-07-03,94.0,stupid song — olivia rodrigo
5,Drop Dead,Olivia Rodrigo,,,0,billboard,2026-07-03,92.0,drop dead — olivia rodrigo
6,Janice STFU,Drake,,,0,billboard,2026-07-03,90.0,janice stfu — drake
7,Hate That I Made You Love Me,Ariana Grande,,,0,billboard,2026-07-03,88.0,hate that i made you love me — ariana grande
8,Man I Need,Olivia Dean,,,0,billboard,2026-07-03,86.0,man i need — olivia dean
9,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,,0,billboard,2026-07-03,84.0,i can't love you anymore — ella langley & morgan wallen
10,Dracula,Tame Impala & JENNIE,,,0,billboard,2026-07-03,82.0,dracula — tame impala & jennie
11,So Easy (To Fall In Love),Olivia Dean,,,0,billboard,2026-07-03,80.0,so easy (to fall in love) — olivia dean
12,I Just Might,Bruno Mars,,,0,billboard,2026-07-03,78.0,i just might — bruno mars
13,The Cure,Olivia Rodrigo,,,0,billboard,2026-07-03,76.0,the cure — olivia rodrigo
14,Boston,Stella Lefty,,,0,billboard,2026-07-03,74.0,boston — stella lefty
15,Risk It All,Bruno Mars,,,0,billboard,2026-07-03,72.0,risk it all — bruno mars
16,Homewrecker,sombr,,,0,billboard,2026-07-03,70.0,homewrecker — sombr
17,Stateside,PinkPantheress With Zara Larsson,,,0,billboard,2026-07-03,68.0,stateside — pinkpantheress with zara larsson
18,Honeybee,Olivia Rodrigo,,,0,billboard,2026-07-03,66.0,honeybee — olivia rodrigo
19,Midnight Sun,Zara Larsson,,,0,billboard,2026-07-03,64.0,midnight sun — zara larsson
20,Shabang,Drake,,,0,billboard,2026-07-03,62.0,shabang — drake
21,Be By You,Luke Combs,,,0,billboard,2026-07-03,60.0,be by you — luke combs
22,Don't We,Morgan Wallen,,,0,billboard,2026-07-03,57.99999999999999,don't we — morgan wallen
23,Earrings,Malcolm Todd,,,0,billboard,2026-07-03,56.00000000000001,earrings — malcolm todd
24,Maggots For Brains,Olivia Rodrigo,,,0,billboard,2026-07-03,54.0,maggots for brains — olivia rodrigo
25,Spend Dat,Yung Miami,,,0,billboard,2026-07-03,52.0,spend dat — yung miami
26,Cinderella,Mac Miller Featuring Ty Dolla $ign,,,0,billboard,2026-07-03,50.0,cinderella — mac miller featuring ty dolla $ign
